PlotID,EP_Plotid,Lon,Lat
H4580,HEG01,10.4053629104,50.9716483376
H22151,HEG10,10.4467607106,51.2751490188
H24761,HEG11,10.4561779278,51.2806670523
H20116,HEG12,10.5758197075,51.0772200104
H4651,HEG13,10.3799460956,51.2596811245
H19568,HEG14,10.4357998366,51.2940601984
H16781,HEG15,10.4862323114,51.0680130317
H12643,HEG16,10.4588433406,51.0334951155
H14529,HEG17,10.4704560664,51.070504549
H16581,HEG18,10.4246855814,51.2836635589
H20606,HEG19,10.4732197941,51.0732375079
H8302,HEG02,10.4300100103,51.0007489248
H30205,HEG20,10.370980806,51.2210645074
H30909,HEG21,10.7525686959,51.1907043424
H37447,HEG22,10.3249271584,51.0307536694
H20426,HEG23,10.3381864542,51.1343049651
H20438,HEG24,10.3512145548,51.101066362
H37029,HEG25,10.322341733,51.0233900146
H2815,HEG26,10.3717252509,51.281500899
H20121,HEG27,10.5969886442,51.0864472749
H20535,HEG28,10.4969215328,51.265906526
H20537,HEG29,10.4984272508,51.2641100338
H8709,HEG03,10.4329488763,50.9980914934
H20825,HEG30,10.3599108538,51.2018524729
H20003,HEG31,10.2211956781,51.1703585041
H20106,HEG32,10.5676100811,51.075510637
H20508,HEG33,10.4259631657,51.1114363932
H30402,HEG34,10.3869351606,51.2142917637
H30417,HEG35,10.4111191881,51.219827364
H20241,HEG36,10.510233429,51.0314465615
H20245,HEG37,10.5144943419,51.032390748
H20433,HEG38,10.3415352077,51.1162026908
H20436,HEG39,10.3462476695,51.1202248042
H20510,HEG04,10.4361803786,51.113362352
H30615,HEG40,10.4468140957,50.9668129807
H888,HEG41,10.3669167564,51.221025855
H13708,HEG42,10.4647839624,51.0694413682
H19577,HEG43,10.4358178074,51.3019709052
H20215,HEG44,10.4796324688,51.0551983135
H20258,HEG45,10.5085340367,51.0395333994
H30915,HEG46,10.7535482021,51.2068950614
H2818,HEG47,10.3719165024,51.2842003328
H5053,HEG48,10.3801379532,51.286831328
H8020,HEG49,10.3918830227,51.2789028874
H20816,HEG05,10.322526719,51.2158944134
H15457,HEG50,10.4207739499,51.2765094035
H30409,HEG06,10.3912208733,51.2149350553
H12850,HEG07,10.4104125695,51.2735825557
H14707,HEG08,10.4179445812,51.2712574671
H30212,HEG09,10.3807872979,51.2238973736
H274,HEW01,10.3236211079,51.185355081
H1363,HEW10,10.4624338733,51.0899873483
H8568,HEW11,10.400854322,51.1028344425
H22701,HEW12,10.4551829807,51.1006881001
H302,HEW13,10.3129467075,51.2426439614
H306,HEW14,10.2581516944,51.366163944
H87,HEW15,10.390161909,51.2050771735
H58,HEW16,10.3654658654,51.1831603571
H130,HEW17,10.2269038462,51.282813576
H637,HEW18,10.3654559913,51.3369669282
H32,HEW19,10.3377262691,51.1992291968
H301,HEW02,10.369953938,51.2100112945
H548,HEW20,10.3602545497,51.3339278121
H20,HEW21,10.3190053755,51.1942782958
H551,HEW22,10.3592785389,51.3371502544
H104,HEW23,10.2084480501,51.2782177401
H300,HEW24,10.4912116326,51.0465026853
H304,HEW25,10.2239693692,51.2845669846
H313,HEW26,10.5130315249,51.3443262423
H310,HEW27,10.521263964,51.3561161433
H308,HEW28,10.526917886,51.358884052
H71407,HEW29,10.3796868348,51.1275428161
H303,HEW03,10.3107384563,51.2716477029
H71515,HEW30,10.3786368177,51.134683874
H71623,HEW31,10.3773142326,51.1422526286
H72920,HEW32,10.3585903186,51.1395282849
H38964,HEW33,10.5088148513,51.3415759448
H1192,HEW34,10.4542735979,51.0847108328
H9686,HEW35,10.4050739485,51.1046899612
H10804,HEW36,10.4093031658,51.106275772
H12905,HEW37,10.4586076362,51.0844264448
H13104,HEW38,10.4601745431,51.0793590584
H13939,HEW39,10.4658614642,51.0929539322
H307,HEW04,10.5333275422,51.369481558
H18639,HEW40,10.4982588767,51.0799442764
H22709,HEW41,10.4549374111,51.1080561853
H23819,HEW42,10.4598259195,51.1027539809
H531,HEW43,10.3580238771,51.3320987308
H674,HEW44,10.3680124678,51.3336765716
H305,HEW45,10.2611071882,51.3639605292
H238,HEW46,10.475472469,51.0480963843
H68,HEW47,10.3783438672,51.1789347352
H70517,HEW48,10.393698314,51.1366895595
H71125,HEW49,10.3845393934,51.1436471085
H154,HEW05,10.2409578716,51.2638781296
H12504,HEW50,10.4554452066,51.0928168175
H150,HEW06,10.2393782624,51.2677198313
H71011,HEW07,10.3854488723,51.131092424
H311,HEW08,10.5169674116,51.3557921769
H71310,HEW09,10.3811496502,51.1302419298
